Previous_Semester_GPA,Past_Exam_Score,Attendance_Rate,Assignment_Submission_Rate,Weekly_Study_Hours,Sleep_Duration,Final_Score
5.17,53.3,69.3,78.4,7.2,8.3,42.9
9.36,79.0,83.2,62.8,3.1,7.3,75.0
6.24,75.9,94.9,98.1,10.6,4.9,66.0
8.18,60.8,82.7,74.2,9.2,6.7,66.4
6.5,46.6,65.5,90.3,2.7,4.8,45.3
7.5,79.0,56.1,77.5,9.1,6.3,64.6
7.62,70.2,94.2,52.2,7.4,6.3,66.9
5.89,84.8,56.0,81.7,2.8,4.8,52.7
9.65,70.2,94.4,97.6,6.6,6.1,81.5
8.72,89.4,78.8,80.1,6.8,5.0,78.7
9.51,72.0,97.3,91.0,3.7,8.1,80.0
9.3,72.5,90.9,94.2,11.5,8.8,85.6
7.87,90.8,99.9,61.4,10.5,4.8,81.1
9.42,63.4,70.8,60.6,8.7,8.8,78.1
5.42,47.8,89.5,80.5,6.6,6.9,45.2
5.94,41.7,73.1,70.6,6.1,5.8,46.4
5.22,83.8,76.6,92.0,8.5,4.8,58.6
6.56,76.0,83.2,95.0,7.5,6.8,62.3
6.87,80.8,94.3,67.7,2.6,8.1,65.1
6.3,52.4,99.3,61.8,7.1,7.7,58.2
8.98,47.9,89.6,89.0,10.1,4.7,70.4
6.71,40.8,73.8,63.7,6.6,4.8,46.7
6.35,60.3,74.0,91.1,2.5,6.3,54.4
7.6,74.2,88.2,71.2,9.9,5.8,70.9
5.68,62.8,65.7,83.4,4.0,5.5,48.8
8.85,65.4,60.0,54.8,4.6,5.8,65.9
5.36,92.4,71.0,81.2,3.6,8.1,57.0
9.74,60.2,67.9,72.6,5.3,8.7,71.7
8.71,69.8,68.3,79.3,9.6,6.3,75.9
5.95,85.5,65.5,58.4,7.2,8.6,60.4
5.03,63.0,56.9,86.8,4.0,5.9,42.5
8.91,76.1,55.8,93.1,10.8,6.6,77.5
8.39,90.0,99.4,60.8,10.8,5.5,78.2
8.5,95.1,74.2,54.8,10.7,7.4,81.1
8.7,48.5,72.3,51.2,4.4,8.9,63.4
5.36,93.7,85.6,82.1,6.5,7.2,60.7
6.72,68.5,64.8,80.4,11.8,6.1,64.5
5.56,55.0,97.7,77.3,9.7,7.4,53.9
9.14,66.6,90.4,61.6,2.3,5.1,71.5
7.99,96.8,59.0,69.5,2.7,8.5,68.5
6.59,68.6,73.8,79.7,6.6,6.8,58.8
5.31,59.1,94.6,74.8,11.1,6.5,53.8
6.49,76.7,97.5,99.4,7.4,7.1,67.4
6.56,53.9,76.0,56.8,7.0,7.3,52.1
8.5,44.4,82.6,84.8,3.1,4.8,61.1
8.06,47.5,62.5,70.2,8.6,7.6,62.8
9.26,47.4,99.6,71.4,10.2,5.6,73.7
7.27,48.8,65.4,85.9,5.8,7.7,53.1
5.57,48.1,97.4,84.6,9.8,8.2,57.3
8.42,77.2,84.2,99.6,11.6,8.1,84.1
8.65,50.5,82.3,56.4,4.0,7.0,60.6
7.69,60.0,78.1,55.2,7.2,6.8,63.2
8.7,92.0,65.4,86.2,4.9,5.1,75.1
7.37,67.5,62.9,78.9,9.9,8.0,65.6
7.51,78.7,64.9,63.7,7.8,5.7,65.7
7.05,50.0,63.4,54.0,8.3,6.7,52.9
5.12,51.2,90.1,54.3,10.0,5.8,45.0
5.52,42.4,70.8,94.7,6.0,5.1,42.5
5.15,49.8,57.6,59.6,11.2,7.3,42.0
8.05,56.2,98.6,66.2,7.3,4.7,64.4
6.51,50.3,94.8,61.3,3.6,7.9,52.1
7.44,45.1,96.7,67.7,9.0,5.9,59.4
9.36,47.0,99.8,53.5,9.9,4.5,73.8
6.2,66.7,62.8,76.0,5.2,6.8,55.6
6.97,52.0,72.8,53.4,10.6,4.7,54.5
8.63,61.1,89.1,90.0,11.1,5.7,76.3
6.1,69.2,86.3,61.7,4.8,7.7,56.0
5.37,80.0,61.9,77.0,11.8,4.8,56.7
6.39,42.3,91.7,94.0,3.4,8.3,52.1
5.77,86.4,65.1,82.5,4.0,4.5,56.1
9.46,76.4,65.1,76.6,3.8,5.6,75.5
8.88,44.7,79.2,66.2,10.9,7.8,67.1
8.04,90.7,81.7,66.7,8.5,5.9,77.2
9.18,93.4,81.1,83.5,3.5,5.0,82.1
8.86,43.5,59.1,99.7,6.4,6.1,63.2
5.9,56.1,94.5,83.1,8.2,5.7,55.0
9.28,86.8,67.0,77.9,2.8,8.3,78.9
7.59,83.4,60.8,86.5,10.8,5.9,70.8
8.88,50.7,95.0,73.3,10.0,8.1,76.0
9.3,52.1,98.0,53.0,7.1,8.5,77.9
6.53,61.5,93.8,78.1,11.7,6.5,61.7
5.53,68.1,91.4,97.9,6.2,8.6,54.4
6.09,75.9,84.5,58.8,11.8,6.2,62.0
7.05,61.4,79.8,84.5,8.7,8.8,65.2
8.93,66.8,58.9,60.0,8.3,4.9,68.6
9.13,83.4,73.4,76.8,3.7,7.6,79.7
5.03,42.1,71.8,54.8,10.8,6.7,39.1
7.45,54.6,66.7,72.5,6.3,6.2,59.0
7.0,81.4,87.6,87.8,3.6,7.3,64.7
6.07,91.9,77.3,67.4,2.1,7.7,62.1
5.58,69.7,58.6,83.2,7.6,4.5,54.5
6.62,70.9,64.9,89.8,7.3,5.3,57.6
9.53,46.2,85.7,96.4,9.2,7.7,75.5
6.55,65.9,58.4,61.7,10.9,7.5,59.4
7.49,70.9,93.3,70.0,2.8,8.8,64.3
8.37,54.1,77.3,57.6,9.3,7.9,66.7
6.75,55.6,76.6,99.6,3.9,8.8,57.3
9.66,61.9,81.7,96.4,10.6,7.7,78.9
9.62,41.2,92.1,77.0,10.2,5.8,74.4
6.21,58.7,70.7,92.1,7.4,5.0,52.6
7.39,52.3,85.5,76.0,9.1,8.0,62.1
6.44,59.0,80.5,81.2,5.1,7.4,58.1
6.37,46.9,67.0,54.5,6.7,4.7,43.8
5.18,91.7,94.5,87.8,10.2,6.1,65.1
7.93,74.4,90.9,56.4,6.6,8.8,69.7
7.41,79.4,84.6,91.3,5.6,6.8,68.6
5.25,85.8,93.3,89.1,6.9,6.4,61.1
6.34,68.9,94.0,85.4,10.3,6.6,64.6
9.36,45.0,86.9,51.8,5.4,5.4,67.6
6.15,71.2,92.7,65.2,3.7,6.2,57.4
5.7,74.0,86.4,63.2,9.1,6.2,56.2
7.35,83.2,85.6,68.0,10.3,4.7,69.3
9.73,65.0,82.8,54.4,3.0,8.0,71.7
6.16,47.4,88.9,96.8,4.4,6.4,50.1
8.23,56.5,62.1,77.7,3.4,8.2,67.5
8.66,61.1,94.6,65.3,5.5,8.3,73.6
6.14,77.5,94.2,69.8,6.5,5.5,57.3
8.5,73.1,56.3,72.4,9.5,7.5,68.9
6.77,60.7,92.2,80.0,8.5,6.6,62.8
8.04,97.2,60.8,75.8,8.2,8.5,77.5
8.04,75.1,70.1,96.0,5.5,5.5,70.4
7.57,53.8,88.5,74.8,10.4,7.6,65.3
5.43,45.9,62.2,99.6,6.7,7.2,45.1
9.01,48.9,91.8,92.6,11.8,5.8,76.5
6.54,54.3,92.4,60.4,8.3,5.1,55.7
5.9,49.3,77.8,96.5,3.3,7.4,44.2
5.2,50.8,55.3,55.8,8.8,7.8,41.6
7.84,56.5,67.9,90.9,5.3,5.9,60.0
8.25,50.1,82.8,69.0,8.9,7.4,66.5
5.08,92.0,99.2,93.9,2.7,6.3,64.1
7.46,44.7,83.4,93.4,3.7,7.7,58.7
6.09,70.4,66.7,90.3,10.6,5.4,58.2
8.1,63.8,83.5,89.5,4.3,8.5,70.1
5.84,97.0,79.3,65.2,10.4,5.8,65.6
8.32,46.5,90.1,54.0,4.8,6.2,61.9
6.86,63.1,59.8,70.1,8.4,4.8,57.4
9.5,96.2,89.2,58.7,8.9,5.0,90.5
5.66,90.2,79.4,84.7,7.1,6.8,59.0
6.64,87.4,98.3,67.3,5.1,5.7,66.3
5.54,55.0,70.4,98.8,4.1,8.3,46.5
9.44,49.9,83.5,82.0,2.3,4.6,69.0
9.21,78.8,96.9,91.1,5.0,6.2,79.4
6.24,93.9,59.6,56.6,8.5,6.0,60.1
8.17,72.3,97.2,93.1,11.4,4.6,76.9
8.92,73.2,86.0,96.1,10.7,5.1,82.7
7.66,56.2,58.1,74.4,9.7,6.4,63.1
7.54,84.6,68.5,80.3,9.9,6.7,69.0
6.16,50.8,86.9,88.2,8.6,6.3,55.1
5.45,58.8,58.0,58.7,4.6,6.9,41.3
9.31,64.7,81.2,75.1,11.1,7.2,76.8
9.32,69.4,70.6,69.9,8.7,4.5,74.7
8.04,54.1,82.9,57.3,7.6,6.6,62.8
6.63,46.7,57.1,68.4,3.1,8.8,51.9
6.68,75.4,94.2,53.4,6.5,6.8,62.7
8.48,56.7,98.8,51.3,6.6,7.5,65.6
9.31,73.7,98.6,56.8,10.6,5.9,80.5
9.26,49.0,88.7,98.2,7.5,8.0,77.2
8.74,67.9,60.9,77.5,5.8,8.0,74.1
8.08,70.9,89.1,98.3,11.8,6.8,74.2
5.4,43.0,56.1,71.6,3.1,8.9,35.0
5.78,59.5,56.0,65.6,6.2,5.1,49.4
9.31,47.8,69.6,75.3,2.4,4.6,64.6
7.91,43.7,77.0,72.0,9.4,8.0,60.6
5.04,97.4,89.7,55.3,11.2,8.1,63.4
5.49,58.7,85.7,82.0,4.8,5.0,43.2
8.18,87.0,75.1,60.8,10.6,5.7,75.3
5.02,54.8,67.3,81.0,4.9,4.6,42.1
5.77,79.5,99.9,82.5,11.1,5.8,66.2
7.63,84.1,74.2,57.6,9.5,8.0,68.9
8.32,74.5,75.3,53.1,10.0,6.8,72.0
8.13,67.4,62.4,89.0,2.2,6.1,61.4
6.08,63.9,90.8,73.0,11.6,6.2,60.5
8.42,60.2,86.2,52.9,9.3,4.5,66.1
6.14,93.9,64.9,99.7,5.0,5.8,61.6
6.56,88.2,58.7,52.9,10.3,7.4,61.0
8.58,96.0,85.6,84.8,4.8,8.9,82.7
8.12,47.2,84.5,99.2,10.7,8.3,71.5
9.08,82.4,67.3,62.0,3.1,4.6,71.2
8.16,94.4,97.8,57.1,9.0,8.5,80.7
7.73,50.5,61.8,56.1,7.4,8.0,54.8
5.45,43.9,74.5,65.2,3.0,8.0,40.0
6.77,83.0,97.5,55.1,4.4,6.6,63.3
6.27,73.3,73.9,84.6,2.1,6.3,60.0
6.17,88.8,83.7,53.1,6.7,5.9,58.5
9.67,48.1,72.9,75.5,5.0,4.8,71.9
6.89,86.1,67.3,99.8,8.0,5.5,69.4
9.28,51.7,99.3,90.7,5.0,5.6,74.1
8.03,49.5,73.4,80.8,5.0,6.7,64.3
8.82,49.5,95.2,65.3,9.4,7.9,72.5
7.41,87.2,65.3,81.2,2.5,6.6,65.7
7.77,78.6,64.6,76.4,11.0,4.8,69.9
7.36,70.3,56.4,71.3,10.5,8.8,67.5
5.94,60.8,84.3,56.5,8.7,8.7,56.7
8.47,90.9,71.6,94.3,7.9,8.0,78.9
6.35,62.8,93.9,72.5,10.9,9.0,60.1
5.12,87.4,76.3,59.7,3.9,7.0,51.1
8.1,65.5,98.6,68.4,2.8,8.8,66.3
5.85,61.9,63.3,70.7,4.4,4.8,46.7
9.51,66.8,94.1,91.4,9.9,6.1,85.6
9.58,57.5,89.9,86.7,2.3,5.5,72.1
9.39,83.4,89.7,88.5,7.8,5.4,84.2
6.78,69.2,93.0,50.6,12.0,5.1,63.8
5.07,53.5,89.2,70.8,10.6,7.3,51.5
9.46,92.2,83.2,74.1,7.2,8.0,81.4
7.06,62.3,60.9,51.0,2.6,7.1,50.7
9.64,71.5,56.5,63.0,10.3,5.2,77.1
9.63,92.6,96.4,88.0,8.0,8.2,93.6
9.09,76.2,82.7,56.9,3.1,7.4,72.2
6.41,46.8,90.8,76.8,2.9,6.2,46.3
6.85,94.5,76.7,60.8,11.1,7.5,72.2
9.09,76.4,60.3,50.6,8.7,5.7,71.7
6.52,59.4,60.6,62.1,10.3,6.1,52.2
5.81,48.1,85.9,98.8,10.8,8.6,54.8
7.67,86.1,74.4,90.1,7.7,5.8,72.0
9.49,76.0,64.0,98.0,7.2,6.6,78.7
8.34,70.9,77.1,74.4,6.3,8.5,66.7
7.74,91.8,57.9,55.5,5.2,7.7,69.3
5.47,85.7,81.2,77.4,6.3,4.8,59.0
7.95,48.8,67.1,72.7,9.7,5.2,62.7
9.75,58.1,90.9,92.2,8.0,4.5,76.9
5.67,54.4,69.0,54.9,10.9,7.3,49.1
7.49,83.1,75.5,74.4,6.4,6.5,68.2
9.21,41.9,55.5,57.5,8.1,5.1,63.7
8.56,73.1,58.3,66.2,8.3,8.8,72.7
8.35,84.2,72.7,86.9,7.9,6.9,74.7
8.37,90.9,76.6,73.8,9.0,5.6,78.0
6.73,59.8,82.0,68.8,4.4,6.8,56.3
6.41,87.6,68.1,69.7,7.1,7.6,65.3
8.88,46.4,86.3,73.0,3.0,4.8,65.0
8.89,89.1,93.7,89.3,5.8,5.7,83.6
9.16,47.4,90.1,94.6,6.9,8.1,73.6
9.38,63.0,56.8,97.8,8.5,6.6,78.1
7.45,86.2,76.6,89.3,11.5,7.0,75.9
7.41,48.7,59.7,65.8,8.0,6.4,53.7
8.83,53.3,65.9,84.4,9.4,4.7,71.5
8.12,81.9,99.4,71.9,7.1,5.2,76.4
8.37,81.8,61.4,62.7,8.3,6.5,70.7
8.82,77.2,77.4,92.0,2.7,5.4,72.1
9.27,80.2,82.8,51.9,4.5,4.7,75.3
6.62,71.5,86.6,95.1,5.6,8.3,64.3
6.8,54.6,80.2,73.1,6.7,8.9,57.9
5.45,60.1,55.4,81.9,2.5,8.1,44.5
7.78,50.5,69.7,83.0,3.4,8.3,62.1
5.17,92.7,78.3,94.8,4.8,5.6,59.4
7.23,73.8,59.0,81.8,11.7,8.8,68.1
7.6,63.2,70.8,80.7,5.3,5.4,63.2
6.38,66.8,56.5,53.3,6.8,8.8,51.0
7.84,94.9,58.5,75.9,4.0,9.0,71.7
5.15,48.9,72.9,57.5,8.1,7.7,46.9
5.18,74.0,61.0,86.9,4.8,8.9,49.7
8.95,69.3,80.5,75.6,4.1,7.1,70.8
6.73,75.5,86.0,84.0,7.2,5.7,62.6
5.61,41.1,91.0,52.1,2.1,6.5,38.2
7.51,90.6,64.0,54.2,2.1,7.2,62.1
8.7,94.1,62.5,85.8,4.2,4.8,74.7
6.04,72.8,59.7,53.6,2.4,7.3,45.9
7.99,80.4,83.6,53.6,3.1,8.9,68.3
5.41,93.5,86.8,50.6,5.4,5.4,58.0
5.25,81.0,56.4,97.8,10.0,8.1,55.1
7.55,48.8,97.1,86.9,7.7,8.6,68.1
7.6,73.4,57.3,67.7,7.1,8.7,65.4
8.06,75.2,79.4,64.8,4.9,8.8,71.1
8.49,64.6,86.9,67.5,11.3,6.8,72.9
9.68,82.7,94.2,88.7,6.0,8.9,88.7
7.48,94.2,87.1,83.1,2.9,7.9,69.8
6.55,93.7,91.1,59.3,8.2,5.2,68.9
8.82,66.1,70.3,58.7,3.1,6.6,66.7
6.3,46.6,91.7,54.9,5.5,7.7,51.3
7.11,97.1,58.6,83.0,7.1,5.6,66.1
5.38,88.7,95.3,88.2,10.7,7.4,63.3
5.12,47.2,79.6,63.3,6.9,7.5,44.3
9.62,93.4,91.8,51.0,9.0,5.2,84.3
9.01,90.5,75.4,54.1,11.9,7.0,83.7
8.34,70.1,84.0,98.4,3.3,8.0,68.8
6.96,74.3,78.7,64.8,4.7,6.7,62.2
5.83,63.1,87.9,88.5,5.9,4.6,51.2
5.75,43.2,58.7,81.2,6.2,4.5,43.3
6.2,59.4,57.7,69.1,6.1,6.1,50.6
7.64,86.6,66.1,60.3,11.1,8.7,71.1
8.43,40.3,62.2,56.1,9.1,5.5,60.3
8.17,59.3,94.2,80.8,8.1,7.4,71.2
6.34,63.1,64.9,88.7,5.1,5.5,52.1
9.58,71.2,98.9,82.2,10.2,5.9,82.8
8.54,93.4,70.2,76.5,11.6,8.3,78.7
7.66,60.1,63.2,52.1,10.2,7.8,62.9
7.94,60.1,90.5,98.4,2.0,4.9,61.1
7.01,82.8,84.6,89.9,8.4,6.4,69.8
6.19,66.2,77.4,64.6,2.5,4.6,49.5
6.71,53.0,80.0,99.0,4.6,6.7,57.4
8.64,66.2,87.4,80.1,2.6,7.5,69.5
5.07,48.2,65.3,79.1,8.0,5.0,41.4
5.56,50.2,99.8,87.4,8.9,5.8,54.4
5.22,68.9,98.9,90.6,3.1,6.3,52.7
5.2,64.3,84.3,82.8,5.8,8.6,51.7
9.11,93.1,64.0,56.4,6.6,9.0,80.3
8.38,61.0,85.6,66.9,5.7,4.7,63.2
7.28,73.7,58.2,96.4,3.2,7.9,63.3
5.47,76.7,56.4,61.2,6.2,6.2,50.4
7.36,40.8,66.6,68.6,9.5,6.3,53.2
7.27,78.5,75.8,71.6,2.7,7.9,62.4
5.83,50.3,94.1,72.0,2.8,8.6,48.6
7.08,95.7,87.7,80.6,5.5,8.8,72.1
6.91,48.6,88.4,97.2,11.4,7.1,63.6
7.96,64.0,74.1,62.0,8.7,6.1,68.5
8.05,45.0,70.6,56.1,8.8,8.0,62.7
5.22,97.8,71.7,59.9,5.6,5.6,52.6
6.8,69.1,99.4,94.3,7.9,7.0,68.0
8.0,74.5,56.8,82.3,2.1,6.1,65.6
7.42,43.9,94.0,64.3,8.4,7.5,60.8
9.11,83.5,81.0,90.8,11.1,5.6,86.5
8.16,52.2,74.7,93.1,8.1,5.4,69.7
5.78,92.1,87.6,92.3,10.7,8.6,70.6
5.34,51.9,76.9,95.9,9.2,5.0,49.8
8.08,51.1,94.3,62.6,3.2,6.8,63.5
5.13,42.1,95.5,87.8,11.0,5.5,49.1
7.81,67.4,74.0,73.0,2.7,4.7,61.1
9.51,72.8,67.5,92.1,7.3,4.7,77.4
7.76,43.8,81.7,86.4,3.4,5.3,60.2
6.86,85.0,96.1,88.8,2.1,8.4,65.2
8.09,66.3,64.5,82.8,6.2,5.8,68.6
7.2,70.4,83.0,58.9,5.0,8.8,63.3
7.62,65.6,83.4,77.3,6.9,7.1,63.2
9.52,63.2,88.0,99.2,7.8,6.5,81.2
6.85,72.5,60.9,96.9,2.4,7.1,53.9
9.61,49.0,87.2,52.2,3.2,6.8,69.5
9.35,50.6,95.9,58.2,7.6,7.9,75.1
5.94,90.0,63.1,56.6,5.4,5.8,54.5
5.33,94.9,65.7,86.3,9.3,6.1,60.4
5.48,61.7,98.7,90.9,8.5,8.5,61.1
5.09,55.7,63.1,60.7,10.5,8.8,45.4
5.45,77.4,93.4,75.3,8.9,8.5,57.6
8.28,63.7,77.2,92.0,6.3,6.4,72.2
5.34,41.5,66.1,86.6,8.7,8.0,48.8
6.53,49.1,94.2,77.1,4.8,6.6,53.8
9.06,81.5,75.0,79.5,5.1,6.7,79.0
5.11,78.2,78.2,75.4,9.9,5.4,57.4
8.91,41.6,71.2,64.9,6.5,7.2,62.0
6.35,52.9,81.7,78.3,10.0,5.3,54.7
5.57,53.4,62.4,84.4,10.2,6.0,51.7
8.34,79.0,72.6,93.7,10.6,8.3,81.6
8.02,41.1,98.6,81.8,11.2,5.4,67.6
9.21,46.0,66.6,88.1,6.3,4.8,65.1
8.53,86.4,84.6,58.0,5.2,4.8,77.4
8.86,50.4,69.6,73.1,7.8,8.7,67.3
6.35,77.9,89.8,50.5,5.7,6.8,58.2
5.85,53.8,60.9,62.3,8.0,6.3,47.7
8.6,45.8,98.6,86.3,9.1,8.1,74.9
8.87,54.1,75.4,99.6,8.9,8.3,75.4
9.75,81.9,65.6,55.0,5.7,6.0,78.5
6.98,89.6,58.3,70.1,3.7,7.6,63.2
6.79,88.2,62.6,90.0,6.3,8.0,65.8
8.73,63.0,78.4,60.2,3.4,7.4,68.1
6.64,78.7,70.2,77.8,10.9,5.2,59.1
9.47,51.9,92.3,86.7,5.5,8.4,74.7
9.12,57.0,74.4,80.8,3.5,6.9,69.3
7.06,92.0,66.2,59.4,2.3,5.8,59.2
8.6,40.8,82.8,67.8,8.5,6.4,65.4
8.62,45.0,86.8,89.2,8.4,4.7,67.3
5.49,52.1,62.5,77.7,5.4,5.1,46.7
9.33,41.5,62.5,50.3,2.7,7.9,63.7
7.43,50.5,56.7,88.0,6.1,4.5,54.3
8.97,73.8,88.1,51.8,5.1,6.4,72.9
6.54,64.4,84.9,87.3,8.8,6.9,61.4
9.3,91.8,76.4,60.1,8.1,4.7,80.3
6.87,87.4,93.0,97.9,5.6,8.9,71.6
5.05,59.8,91.3,68.4,4.2,5.5,43.8
9.35,55.0,81.3,66.3,11.9,5.9,73.4
5.44,62.0,94.1,57.4,6.5,5.9,51.1
6.53,74.2,64.3,65.3,8.9,5.5,59.7
9.56,55.5,60.0,93.8,3.4,4.5,67.3
9.56,76.2,67.1,99.8,6.9,7.8,83.3
7.75,63.7,57.6,68.4,2.3,8.9,57.4
8.03,72.0,78.9,72.4,7.1,5.5,69.1
7.15,65.3,97.1,86.1,11.6,7.5,71.7
6.41,57.1,56.8,94.3,5.8,7.8,53.0
6.58,95.0,60.5,79.7,2.4,8.3,62.9
8.23,84.3,75.3,69.6,2.3,6.4,68.2
8.61,48.1,97.0,70.6,5.9,5.9,66.4
8.8,90.4,69.2,84.8,3.6,6.0,75.7
8.79,68.3,77.8,50.2,2.2,7.7,65.5
5.44,91.9,56.9,81.0,9.6,8.2,59.2
7.37,86.4,61.7,67.8,6.6,5.3,62.1
5.28,64.7,99.4,89.7,4.9,6.2,51.6
7.64,41.3,98.4,54.6,11.0,8.6,62.5
7.12,55.6,55.2,79.4,3.2,8.1,52.8
9.26,71.4,97.8,74.0,11.6,8.9,84.2
6.68,76.7,83.8,82.1,5.1,7.9,62.8
5.56,55.0,94.1,53.2,10.9,6.3,53.0
5.69,48.1,75.5,79.0,8.0,7.2,50.4
8.66,88.4,78.2,78.1,10.3,7.5,80.4
7.97,97.1,77.0,78.0,11.8,4.9,77.2
5.49,70.5,85.0,80.2,4.9,7.0,50.9
5.4,50.0,61.3,83.8,11.6,7.7,48.0
8.36,55.8,56.3,90.2,5.9,5.3,62.4
5.35,41.1,68.9,63.5,5.9,8.0,39.0
8.94,93.0,86.7,91.3,5.4,7.1,80.5
8.39,46.8,64.1,74.9,7.4,8.8,62.5
5.39,73.4,85.3,53.9,3.5,4.7,48.5
5.41,55.9,98.6,52.9,7.5,5.7,50.0
9.74,72.1,59.2,66.7,7.4,7.2,75.9
6.8,77.8,85.3,89.2,9.6,5.8,66.7
6.78,88.1,75.0,85.4,10.3,7.7,68.4
8.9,52.0,94.1,89.4,6.4,7.9,72.7
9.55,40.6,63.0,75.9,5.0,5.0,62.9
9.73,47.9,86.2,72.0,4.6,6.8,72.8
8.62,92.2,92.7,57.4,3.9,6.8,73.4
6.81,90.7,97.5,66.4,2.6,6.2,64.7
5.4,74.6,85.7,71.7,5.4,8.7,54.8
8.73,74.8,77.4,54.4,4.7,8.2,71.6
7.68,78.6,82.8,61.0,11.7,7.6,78.2
7.04,50.2,94.1,79.9,7.6,7.7,61.2
9.35,93.0,80.7,86.8,5.5,6.6,82.1
5.53,64.3,56.4,99.9,7.8,8.6,52.1
7.36,62.2,96.9,96.7,3.4,7.6,61.1
5.05,70.1,86.0,82.1,6.4,7.8,52.0
7.25,42.7,85.4,71.1,8.3,8.4,56.7
5.27,49.6,64.7,81.8,6.9,5.7,45.2
5.57,82.8,84.6,89.3,6.0,8.1,58.4
5.56,44.8,72.7,55.9,11.9,5.4,46.1
8.12,75.0,84.3,70.5,10.8,6.1,72.8
8.58,54.2,59.8,92.0,8.2,6.0,70.4
7.8,62.6,84.6,69.2,7.7,8.9,66.6
9.62,56.7,100.0,78.6,8.2,8.4,83.9
6.8,60.6,57.2,79.4,4.0,7.7,55.2
6.37,81.7,99.0,59.2,6.0,7.8,64.1
9.17,57.2,73.3,68.1,2.4,7.0,67.7
6.07,72.9,94.2,66.7,6.8,8.8,60.7
9.62,67.6,90.2,51.3,7.4,6.7,73.8
5.06,78.5,80.5,51.2,4.3,6.2,47.6
9.66,94.3,88.2,91.6,11.6,5.2,94.1
5.21,82.5,94.5,63.7,11.1,8.0,60.2
9.28,52.5,73.2,75.9,9.2,7.8,70.3
7.53,41.8,69.7,64.9,7.3,6.2,54.7
9.77,55.2,85.0,97.0,10.7,4.6,83.7
5.35,74.5,91.4,63.0,3.3,8.3,54.4
7.66,43.0,89.3,71.5,9.9,4.6,60.8
9.65,68.8,90.9,93.6,3.2,7.7,81.5
7.51,74.6,74.6,92.1,9.9,8.9,70.9
8.02,59.4,91.8,59.3,4.8,6.5,60.6
8.34,84.7,60.4,90.1,10.8,5.6,74.6
7.18,46.2,79.5,72.9,11.4,7.7,63.6
8.01,44.4,55.3,74.1,3.5,8.2,54.8
7.8,82.2,69.6,56.7,6.6,7.0,67.2
9.33,68.7,71.5,54.0,11.8,8.9,78.0
5.22,79.9,72.8,86.4,6.8,4.7,57.0
6.35,65.2,86.3,74.8,10.6,6.8,64.3
9.56,54.3,72.5,71.8,7.9,7.7,78.1
9.27,87.5,75.2,86.5,5.8,8.4,82.0
7.19,86.4,65.7,88.3,4.9,5.3,65.9
7.98,80.3,71.8,57.9,4.0,8.1,64.1
6.33,55.8,65.2,80.5,9.6,7.0,57.7
5.9,74.2,58.3,56.8,5.9,6.3,48.4
